Films
Infinity Castle
Chainsaw Man: Reze Arc
F1
Zootopia 2
Zootopia 2
NA
NA
NA
Mission Impossible 8
Sinners
The Accountant 2
The Housemaid
Chainsaw Man: Reze Arc
The Fantastic Four: First Steps
The Fantastic Four: First Steps
Marty Supreme
Wicked: For Good
Marty Supreme
Wicked: For Good
Superman
Zootopia 2
Wicked: For Good
Marty Supreme
Wicked: For Good
Zootopia 2
Wicked: For Good
Sinners
Marty Supreme
Anaconda
Jurassic World Rebirth
The Art of Telling Lies
Bullet Train
Dune 2
Nosferatu
Avatar: Fire and Ash
The Secret Life of Pets 2
Materialists
Anaconda
Avatar: Fire and Ash
Superman
Avatar: Fire and Ash
Chainsaw Man: Reze Arc
Superman
Avatar: Fire and Ash
Now You See Me: Now You Don't
Gladiator 2
Dhurandhar
NA
The Fantastic Four: First Steps
Wicked: For Good
Wicked: For Good
Avatar: Fire and Ash
The Fantastic Four: First Steps
Avatar: Fire and Ash
Top Gun: Maverick
Zootopia 2
The Minecraft Movie
Oppenheimer
Marty Supreme
Dhurandhar
Spider-Man: Across the Spider-Verse
The Housemaid
The Housemaid
Marty Supreme
Zootopia 2
Wicked: For Good
Jujutsu Kaisen: Execution
Five Nights at Freddy's 2
Zootopia 2
The Fantastic Four: First Steps
The Housemaid
Frozen
Avatar: Fire and Ash
The Fantastic Four: First Steps
Wicked: For Good
Eternity
Marty Supreme
Zootopia 2
Black Panther
Avatar: Fire and Ash
Marty Supreme
Zootopia 2
Marty Supreme
Wicked: For Good
Wicked: For Good
Coco
NA
Sinners
Zootopia 2
Wicked: For Good
Marty Supreme
Marty Supreme
Marty Supreme
Marty Supreme
Wicked: For Good
The Conjuring: Last Rites
Rental Family
NA
Superman
The Hunger Games: The Ballad of Songbirds & Snakes
Marty Supreme
One Battle After Another
The Hunger Games: The Ballad of Songbirds & Snakes
Zootopia 2
F1
Zootopia 2
Marty Supreme
The Batman
Avatar: Fire and Ash
Wicked: For Good
Marty Supreme
Marty Supreme
The Black Phone 2
Frankenstein
Avatar: Fire and Ash
NA
Marty Supreme
Wicked: For Good
Marty Supreme
NA
Zootopia 2
Eternity
Avatar: Fire and Ash
Wicked: For Good
Avatar: Fire and Ash
Zootopia 2
Zootopia 2
Marty Supreme
Dhurandhar
NA
Wicked: For Good
Marty Supreme
Superman
Avatar: Fire and Ash
Wicked: For Good
NA
NA
The Smashing Machine
Marty Supreme
Superman
Howl's Moving Castle
Regretting You
Avengers: Endgame
Hamnet
Knives Out 3
Wicked: For Good
Zootopia 2
Zootopia 2
Now You See Me: Now You Don't
Lion King
Zootopia 2
Marty Supreme
Avatar: Fire and Ash
Spider-Man: Across the Spider-Verse
Spider-Man: Across the Spider-Verse
Five Nights at Freddy's 2
The Minecraft Movie
Anaconda
Now You See Me: Now You Don't
Dune 2
Avatar: Fire and Ash
Avatar: Fire and Ash
Wicked: For Good
Spider-Man: Across the Spider-Verse
Wicked: For Good
Zootopia 2
Five Nights at Freddy's 2
Materialists
Avatar: Fire and Ash
Oppenheimer
Zootopia 2
Marty Supreme
Now You See Me: Now You Don't
Five Nights at Freddy's 2
Wicked: For Good
Superman
NA
Star Wars: The Last Jedi
Marty Supreme
Avatar: Fire and Ash
NA
Avatar: Fire and Ash
Avatar: Fire and Ash
Minions: The Rise of Gru
Song Sung Blue
Suzuki
Wicked: For Good
David
Zootopia 2
Avatar: Fire and Ash
Hamilton
Wicked: For Good
It Ends with Us
Knives Out 3
Marty Supreme
The Black Phone 2
Mission Impossible 8
Avatar: Fire and Ash
Zootopia 2
Zootopia 2
The Housemaid
Marty Supreme
Marty Supreme
Wicked: For Good
Avatar: Fire and Ash
Avatar: Fire and Ash
Zootopia 2
Zootopia 2
Five Nights at Freddy's 2
Avatar: Fire and Ash
The Housemaid
The Housemaid
Zootopia 2
Marty Supreme
Wicked: For Good
Avatar: Fire and Ash
Sinners
Zootopia 2
Avatar: Fire and Ash
La Cena
Hamnet
Avatar: Fire and Ash
One Battle After Another
The Minecraft Movie
Eternity
Marty Supreme
Marty Supreme
NA
Dune 2
Guardians of the Galaxy Vol. 3
Superman
Marty Supreme
Wicked: For Good
F1
Knives Out 3
NA
Sinners
Wicked: For Good
Zootopia 2
Barbie
Zootopia 2
Marty Supreme
Now You See Me: Now You Don't
No Other Choice
Zootopia 2
Hamilton
Top Gun: Maverick
Zootopia 2
Five Nights at Freddy's 2
NA
Gladiator 2
Avatar: Fire and Ash
Zootopia 2
Zootopia 2
Barbie
Nuremberg
NA
